
Membership No  Date Joined  Active  
    55399      2015-9-16    yes   
    50597      2015-3-6     yes   
    10554      2020-5-25    no    
    45763      2015-5-2     no    
    84972      2016-11-14   yes   
    23225      2015-3-20    no    
    18854      2018-5-11    no    
    28801      2019-12-2    no    
    82633      2019-11-11   no    
    26974      2019-2-12    no    
    78554      2015-3-14    yes   
    55921      2020-7-10    no    
    16181      2019-12-19   no    
    66750      2017-10-3    yes   
    28941      2016-7-10    no    
    55573      2016-12-18   no    
    40295      2020-5-16    no    
    31890      2020-3-21    no    
    67750      2017-2-6     yes   
    51430      2018-5-16    no    






