Membership No  Date Joined  Active  
    41754      2016-10-1    no    
    61461      2020-12-18   no    
    51060      2018-12-5    no
    10554      2020-5-25    no
    45763      2015-5-2     no
    23225      2015-3-20    no
    18854      2018-5-11    no
    28801      2019-12-2    no
    82633      2019-11-11   no
    26974      2019-2-12    no
    55921      2020-7-10    no
    16181      2019-12-19   no
    28941      2016-7-10    no
    55573      2016-12-18   no
    40295      2020-5-16    no
    31890      2020-3-21    no
    51430      2018-5-16    no   
